awardeeCounty,Year_date,d_SBIR_1,SBIR_1,d_SBIR_2,SBIR_2,d_STTR_1,STTR_1,d_STTR_2,STTR_2,d_PFI,PFI,d_others,others,d_inv,d_59,total_50k,d_99,estimatedTotalAmt_d_99,total_corps,total_fund,d_d_59,ID,gname_x,gname_y,gname_x,gname_y,gname_x,gname_y,gname
ABINGDON,2021,1,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256000,0,0,,,,,,,
ADA,2010,0,0,0,0,0,0,0,0,0,0,1,63062,0,0,0,0,0,0,63062,0,1,,,,,,,
ADA,2013,0,0,0,0,0,0,0,0,0,0,1,103856,0,0,0,0,0,0,103856,0,1,,,,,,,
ADA,2018,0,0,0,0,0,0,0,0,0,0,1,2399334,0,0,0,0,0,0,2399334,0,1,,,,,,,
ADA,2020,0,0,0,0,0,0,0,0,0,0,1,130333,0,0,0,0,0,0,130333,0,1,,,,,,,
ADA,2022,0,0,0,0,0,0,0,0,0,0,1,1497678,0,0,0,0,0,0,1497678,0,1,,,,,,,
ADDISON,2022,1,254214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254214,0,2,,,,,,,
ADRIAN,1995,0,0,0,0,0,0,0,0,0,0,1,49870,0,0,0,0,0,0,49870,0,3,,,,,,,
ADRIAN,2018,0,0,0,0,0,0,0,0,0,0,1,889553,0,0,0,0,0,0,889553,0,3,,,,,,,
ADRIAN,2022,0,0,0,0,0,0,0,0,0,0,1,1500000,0,0,0,0,0,0,1500000,0,3,,,,,,,
ALAMO,2021,1,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256000,0,4,,,,,,,
ALFRED STATION,2017,0,0,1,718842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718842,0,5,,,,,,,
ALPINE,1993,0,0,0,0,0,0,0,0,0,0,1,7793,0,0,0,0,0,0,7793,0,6,,,,,,,
ALPINE,1998,0,0,0,0,0,0,0,0,0,0,1,19248,0,0,0,0,0,0,19248,0,6,,,,,,,
ALPINE,2021,0,0,0,0,0,0,0,0,0,0,1,1333429,0,0,0,0,0,0,1333429,0,6,,,,,,,
ALTADENA,2016,0,0,0,0,1,449978,0,0,0,0,0,0,0,0,0,0,0,0,449978,0,7,,,,,,,
AMBLER,2020,1,419610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419610,0,8,,,,,,,
AMBLER,2021,1,0,0,0,1,256000,0,0,0,0,0,0,0,0,0,0,0,0,256000,0,8,,,,,,,
AMESBURY,2020,1,254504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254504,0,9,,,,,,,
ANAHEIM,2019,0,0,0,0,0,0,0,0,0,0,1,506982,0,0,0,0,0,0,506982,0,10,,,,,,,
ANAHEIM,2021,0,0,0,0,0,0,0,0,0,0,1,140640,0,0,0,0,0,0,140640,0,10,,,,,,,
ARCHBOLD,2015,0,0,0,0,0,0,0,0,0,0,1,199996,0,0,0,0,0,0,199996,0,11,,,,,,,
ARCHBOLD,2019,0,0,0,0,0,0,0,0,0,0,1,988431,0,0,0,0,0,0,988431,0,11,,,,,,,
ASTON,1995,0,0,0,0,0,0,0,0,0,0,1,23784,0,0,0,0,0,0,23784,0,12,,,,,,,
ASTON,2019,0,0,0,0,0,0,0,0,0,0,1,799226,0,0,0,0,0,0,799226,0,12,,,,,,,
Aberdeen,1993,0,0,0,0,0,0,0,0,0,0,1,7500,0,0,0,0,0,0,7500,0,13,,,,,,,
Aberdeen,1996,0,0,0,0,0,0,0,0,0,0,1,7500,0,0,0,0,0,0,7500,0,13,,,,,,,
Aberdeen,1997,0,0,0,0,0,0,0,0,0,0,1,19900,0,0,0,0,0,0,19900,0,13,,,,,,,
Aberdeen,1998,0,0,0,0,0,0,0,0,0,0,1,15000,0,0,0,0,0,0,15000,0,13,,,,,,,
Abilene,1997,0,0,0,0,0,0,0,0,0,0,1,31450,0,0,0,0,0,0,31450,0,14,,,,,,,
Abilene,2011,0,0,0,0,0,0,0,0,0,0,1,52800,0,0,0,0,0,0,52800,0,14,,,,,,,
Abington,1998,0,0,0,0,0,0,0,0,0,0,1,15000,0,0,0,0,0,0,15000,0,15,,,,,,,
Accomack County,1993,0,0,0,0,0,0,0,0,0,0,1,148680,0,0,0,0,0,0,148680,0,16,,,,,,,
Accomack County,1995,0,0,0,0,0,0,0,0,0,0,1,24095,0,0,0,0,0,0,24095,0,16,,,,,,,
Accomack County,1996,0,0,0,0,0,0,0,0,0,0,1,251762,0,0,0,0,0,0,251762,0,16,,,,,,,
Accomack County,2013,0,0,0,0,0,0,0,0,0,0,1,198248,0,0,0,0,0,0,198248,0,16,,,,,,,
Adelphi,1994,0,0,0,0,0,0,0,0,0,0,1,491270,0,0,0,0,0,0,491270,0,17,,,,,,,
Adelphi,2014,0,0,0,0,0,0,0,0,0,0,1,5000,0,0,0,0,0,0,5000,0,17,,,,,,,
Agoura Hills,1992,0,0,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,18,,,,,,,
Aiea,1993,0,0,0,0,0,0,0,0,0,0,1,7500,0,0,0,0,0,0,7500,0,19,,,,,,,
Aiea,1995,0,0,0,0,0,0,0,0,0,0,1,375130,0,0,0,0,0,0,375130,0,19,,,,,,,
Aiken,1998,0,0,0,0,0,0,0,0,0,0,1,50000,0,0,0,0,0,0,50000,0,20,,,,,,,
Aiken,2008,0,0,0,0,0,0,0,0,0,0,1,69552,0,0,0,0,0,0,69552,0,20,,,,,,,
Akron,1990,0,0,0,0,0,0,0,0,0,0,1,490000,0,0,0,0,0,0,490000,0,21,,,,,,,2012.0
Akron,1991,0,0,0,0,0,0,0,0,0,0,1,914900,0,0,0,0,0,0,914900,0,21,,,,,,,2012.0
Akron,1992,0,0,0,0,0,0,0,0,0,0,1,50000,0,0,0,0,0,0,50000,0,21,,,,,,,2012.0
Akron,1993,0,0,0,0,0,0,0,0,0,0,1,1184245,0,0,0,0,0,0,1184245,0,21,,,,,,,2012.0
Akron,1994,0,0,0,0,0,0,0,0,0,0,1,1965985,0,0,0,0,0,0,1965985,0,21,,,,,,,2012.0
Akron,1995,0,0,0,0,0,0,0,0,0,0,1,72444,0,0,0,0,0,0,72444,0,21,,,,,,,2012.0
Akron,1996,0,0,0,0,0,0,0,0,0,0,1,1415868,0,0,0,0,0,0,1415868,0,21,,,,,,,2012.0
Akron,1997,0,0,0,0,0,0,0,0,0,0,1,3102325,0,0,0,0,0,0,3102325,0,21,,,,,,,2012.0
Akron,1998,0,0,0,0,0,0,0,0,0,0,1,645900,0,0,0,0,0,0,645900,0,21,,,,,,,2012.0
Akron,1999,0,0,0,0,0,0,0,0,0,0,1,1788767,0,0,0,0,0,0,1788767,0,21,,,,,,,2012.0
Akron,2000,0,0,0,0,0,0,0,0,0,0,1,1425684,0,0,0,0,0,0,1425684,0,21,,,,,,,2012.0
Akron,2001,0,0,0,0,0,0,0,0,0,0,1,2754704,0,0,0,0,0,0,2754704,0,21,,,,,,,2012.0
Akron,2002,0,0,0,0,0,0,0,0,0,0,1,2192786,0,0,0,0,0,0,2192786,0,21,,,,,,,2012.0
Akron,2003,0,0,0,0,0,0,0,0,0,0,1,1454230,0,0,0,0,0,0,1454230,0,21,,,,,,,2012.0
Akron,2004,0,0,0,0,0,0,0,0,0,0,1,702013,0,0,0,0,0,0,702013,0,21,,,,,,,2012.0
Akron,2005,0,0,0,0,0,0,0,0,0,0,1,1287370,0,0,0,0,0,0,1287370,0,21,,,,,,,2012.0
Akron,2006,0,0,0,0,0,0,0,0,0,0,1,1262739,0,0,0,0,0,0,1262739,0,21,,,,,,,2012.0
Akron,2007,0,0,0,0,0,0,0,0,0,0,1,4090432,0,0,0,0,0,0,4090432,0,21,,,,,,,2012.0
Akron,2008,0,0,0,0,0,0,0,0,0,0,1,2022427,0,0,0,0,0,0,2022427,0,21,,,,,,,2012.0
Akron,2009,0,0,0,0,0,0,0,0,0,0,1,1191752,0,0,0,0,0,0,1191752,0,21,,,,,,,2012.0
Akron,2010,0,0,0,0,0,0,0,0,0,0,1,2744625,0,0,0,0,0,0,2744625,0,21,,,,,,,2012.0
Akron,2011,0,0,0,0,0,0,0,0,0,0,1,2532282,0,0,0,0,0,0,2532282,0,21,,,,,,,2012.0
Akron,2012,1,150000,0,0,0,0,0,0,0,0,1,5368118,0,1,50000,0,0,50000,5568118,1,21,,,,,,,2012.0
Akron,2013,1,0,0,0,0,0,0,0,0,0,1,2761533,0,0,0,0,0,0,2761533,1,21,,,,,,,2012.0
Akron,2014,1,0,0,0,0,0,0,0,0,0,1,2953203,0,1,50000,0,0,50000,3003203,1,21,,,,,,,2012.0
Akron,2015,1,0,1,1500000,0,0,0,0,0,0,1,3178313,0,0,0,0,0,0,4678313,1,21,,,,,,,2012.0
Akron,2016,1,0,1,0,0,0,0,0,0,0,1,1929453,0,2,100000,0,0,100000,2029453,1,21,,,,,,,2012.0
Akron,2017,1,0,1,0,0,0,0,0,0,0,1,2667204,0,2,100000,0,0,100000,2767204,1,21,,,,,,,2012.0
Akron,2018,1,675000,1,0,0,0,0,0,0,0,1,4719205,0,1,50000,0,0,50000,5444205,1,21,,,,,,,2012.0
Akron,2019,1,0,1,0,0,0,0,0,0,0,1,6300841,0,6,300000,0,0,300000,6600841,1,21,,,,,,,2012.0
Akron,2020,1,706000,1,0,0,0,0,0,1,500000,1,2274093,0,4,200000,0,0,200000,3680093,1,21,,,,,,,2012.0
Akron,2021,1,256000,1,0,0,0,0,0,1,549999,1,10468278,0,4,200000,0,0,200000,11474277,1,21,,,,,,,2012.0
Akron,2022,1,0,1,0,1,256000,0,0,1,250000,1,6482713,0,3,150000,0,0,150000,7138713,1,21,,,,,,,2012.0
Alachua,1997,0,0,0,0,0,0,0,0,0,0,1,18880,0,0,0,0,0,0,18880,0,22,,,,,,,
Alachua,2007,0,0,0,0,0,0,0,0,0,0,1,370476,0,0,0,0,0,0,370476,0,22,,,,,,,
Alachua,2015,0,0,0,0,0,0,0,0,0,0,1,960000,0,0,0,0,0,0,960000,0,22,,,,,,,
Alachua,2018,0,0,0,0,0,0,0,0,0,0,1,599988,0,0,0,0,0,0,599988,0,22,,,,,,,
Alachua,2019,0,0,0,0,0,0,0,0,0,0,1,2748264,0,0,0,0,0,0,2748264,0,22,,,,,,,
Alachua,2022,0,0,0,0,0,0,0,0,0,0,1,525176,0,0,0,0,0,0,525176,0,22,,,,,,,
Alachua County,2021,0,0,0,0,1,256000,0,0,0,0,0,0,0,0,0,0,0,0,256000,0,23,,,,,,,
Alameda,1994,1,64352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64352,0,24,,,,,,,
Alameda,1997,1,0,0,0,0,0,0,0,0,0,1,100008,0,0,0,0,0,0,100008,0,24,,,,,,,
Alameda,1999,1,0,0,0,0,0,0,0,0,0,1,625689,0,0,0,0,0,0,625689,0,24,,,,,,,
Alameda,2006,1,0,0,0,0,0,0,0,0,0,1,1960028,0,0,0,0,0,0,1960028,0,24,,,,,,,
Alameda,2011,1,0,0,0,0,0,0,0,0,0,1,1999964,0,0,0,0,0,0,1999964,0,24,,,,,,,
Alameda,2014,1,149780,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,149780,0,24,,,,,,,
Alameda,2016,1,0,1,747082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,747082,0,24,,,,,,,
Alameda,2018,1,450000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,450000,0,24,,,,,,,
Alameda,2020,1,480160,1,749380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1229540,0,24,,,,,,,
Alameda,2022,1,0,1,1000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000000,0,24,,,,,,,
Alameda County,2000,0,0,0,0,0,0,0,0,0,0,1,191600,0,0,0,0,0,0,191600,0,25,,,,,,,
Alameda County,2018,0,0,0,0,0,0,1,750000,0,0,1,0,0,0,0,0,0,0,750000,0,25,,,,,,,
Alameda County,2020,1,224990,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,224990,0,25,,,,,,,
Alameda County,2021,1,255999,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,255999,0,25,,,,,,,
Alameda County,2022,1,0,1,998608,0,0,1,0,0,0,1,0,0,0,0,0,0,0,998608,0,25,,,,,,,
Alamosa,1993,0,0,0,0,0,0,0,0,0,0,1,9986,0,0,0,0,0,0,9986,0,26,,,,,,,
Alamosa,1998,0,0,0,0,0,0,0,0,0,0,1,14752,0,0,0,0,0,0,14752,0,26,,,,,,,
Alamosa,2001,0,0,0,0,0,0,0,0,0,0,1,183700,0,0,0,0,0,0,183700,0,26,,,,,,,
Alamosa,2002,0,0,0,0,0,0,0,0,0,0,1,515626,0,0,0,0,0,0,515626,0,26,,,,,,,
Alamosa,2016,0,0,0,0,0,0,0,0,0,0,1,249571,0,0,0,0,0,0,249571,0,26,,,,,,,
Alamosa,2017,0,0,0,0,0,0,0,0,0,0,1,479762,0,0,0,0,0,0,479762,0,26,,,,,,,
Alamosa,2019,0,0,0,0,0,0,0,0,0,0,1,3604104,0,0,0,0,0,0,3604104,0,26,,,,,,,
Albany,1991,0,0,0,0,0,0,0,0,0,0,1,3108181,0,0,0,0,0,0,3108181,0,27,,,,,,,2014.0
Albany,1992,0,0,0,0,0,0,0,0,0,0,1,4041522,0,0,0,0,0,0,4041522,0,27,,,,,,,2014.0
Albany,1993,0,0,0,0,0,0,0,0,0,0,1,1470083,0,0,0,0,0,0,1470083,0,27,,,,,,,2014.0
Albany,1994,0,0,0,0,0,0,0,0,0,0,1,381070,0,0,0,0,0,0,381070,0,27,,,,,,,2014.0
Albany,1995,0,0,0,0,0,0,0,0,0,0,1,3913504,0,0,0,0,0,0,3913504,0,27,,,,,,,2014.0
Albany,1996,0,0,0,0,0,0,0,0,0,0,1,3978762,0,0,0,0,0,0,3978762,0,27,,,,,,,2014.0
Albany,1997,0,0,0,0,0,0,0,0,0,0,1,1117739,0,0,0,0,0,0,1117739,0,27,,,,,,,2014.0
Albany,1998,0,0,0,0,0,0,0,0,0,0,1,2025185,0,0,0,0,0,0,2025185,0,27,,,,,,,2014.0
Albany,1999,0,0,0,0,0,0,0,0,0,0,1,3926767,0,0,0,0,0,0,3926767,0,27,,,,,,,2014.0
Albany,2000,0,0,0,0,0,0,0,0,0,0,1,1329461,0,0,0,0,0,0,1329461,0,27,,,,,,,2014.0
Albany,2001,0,0,0,0,0,0,0,0,0,0,1,2008052,0,0,0,0,0,0,2008052,0,27,,,,,,,2014.0
Albany,2002,0,0,0,0,0,0,0,0,0,0,1,4651788,0,0,0,0,0,0,4651788,0,27,,,,,,,2014.0
Albany,2003,0,0,0,0,0,0,0,0,0,0,1,2656138,0,0,0,0,0,0,2656138,0,27,,,,,,,2014.0
Albany,2004,0,0,0,0,0,0,0,0,0,0,1,2890578,0,0,0,0,0,0,2890578,0,27,,,,,,,2014.0
Albany,2005,0,0,0,0,0,0,0,0,0,0,1,2542492,0,0,0,0,0,0,2542492,0,27,,,,,,,2014.0
Albany,2006,0,0,0,0,0,0,0,0,0,0,1,557386,0,0,0,0,0,0,557386,0,27,,,,,,,2014.0
Albany,2007,0,0,0,0,0,0,0,0,0,0,1,2462002,0,0,0,0,0,0,2462002,0,27,,,,,,,2014.0
Albany,2008,0,0,0,0,0,0,0,0,0,0,1,3740873,0,0,0,0,0,0,3740873,0,27,,,,,,,2014.0
Albany,2009,0,0,0,0,0,0,0,0,0,0,1,3897211,0,0,0,0,0,0,3897211,0,27,,,,,,,2014.0
Albany,2010,0,0,0,0,0,0,0,0,1,600000,1,5105714,0,0,0,0,0,0,5705714,0,27,,,,,,,2014.0
Albany,2011,0,0,1,999998,0,0,0,0,1,1200000,1,2809724,0,0,0,0,0,0,5009722,0,27,,,,,,,2014.0
Albany,2012,0,0,1,0,0,0,0,0,1,0,1,5260041,0,0,0,0,0,0,5260041,0,27,,,,,,,2014.0
Albany,2013,0,0,1,0,0,0,0,0,1,0,1,3170626,0,0,0,0,0,0,3170626,0,27,,,,,,,2014.0
Albany,2014,0,0,1,0,0,0,0,0,1,0,1,4357800,0,1,50000,0,0,50000,4407800,1,27,,,,,,,2014.0
Albany,2015,0,0,1,0,0,0,0,0,1,0,1,6462124,0,1,50000,0,0,50000,6512124,1,27,,,,,,,2014.0
Albany,2016,0,0,1,0,0,0,0,0,1,0,1,2136791,0,0,0,0,0,0,2136791,1,27,,,,,,,2014.0
Albany,2017,0,0,1,0,0,0,0,0,1,0,1,2330965,0,0,0,0,0,0,2330965,1,27,,,,,,,2014.0
Albany,2018,1,224949,1,1409074,0,0,0,0,1,0,1,9228677,0,0,0,0,0,0,10862700,1,27,,,,,,,2014.0
Albany,2019,1,449996,1,0,0,0,0,0,1,0,1,17986187,0,0,0,0,0,0,18436183,1,27,,,,,,,2014.0
Albany,2020,1,0,1,999755,0,0,0,0,1,0,1,10629534,0,2,100000,0,0,100000,11729289,1,27,,,,,,,2014.0
Albany,2021,1,0,1,925493,0,0,0,0,1,0,1,13623131,0,0,0,0,0,0,14548624,1,27,,,,,,,2014.0
Albany,2022,1,0,1,0,0,0,0,0,1,0,1,8900558,0,2,100000,0,0,100000,9000558,1,27,,,,,,,2014.0
Albemarle,2019,0,0,0,0,0,0,0,0,0,0,1,600000,0,0,0,0,0,0,600000,0,28,,,,,,,
Albion,1993,0,0,0,0,0,0,0,0,0,0,1,47100,0,0,0,0,0,0,47100,0,29,,,,,,,
Albion,1994,0,0,0,0,0,0,0,0,0,0,1,130370,0,0,0,0,0,0,130370,0,29,,,,,,,
Albion,1997,0,0,0,0,0,0,0,0,0,0,1,78976,0,0,0,0,0,0,78976,0,29,,,,,,,
Albion,1998,0,0,0,0,0,0,0,0,0,0,1,260759,0,0,0,0,0,0,260759,0,29,,,,,,,
Albion,1999,0,0,0,0,0,0,0,0,0,0,1,67412,0,0,0,0,0,0,67412,0,29,,,,,,,
Albion,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,,,,,,,
Albion,2016,1,225000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,225000,0,29,,,,,,,
Albion,2018,1,0,0,0,0,0,0,0,0,0,1,75113,0,0,0,0,0,0,75113,0,29,,,,,,,
Albuquerque,1988,0,0,0,0,0,0,0,0,0,0,1,2546868,0,0,0,0,0,0,2546868,0,30,,,,,,,2021.0
Albuquerque,1989,0,0,0,0,0,0,0,0,0,0,1,658152,0,0,0,0,0,0,658152,0,30,,,,,,,2021.0
Albuquerque,1990,0,0,0,0,0,0,0,0,0,0,1,969260,0,0,0,0,0,0,969260,0,30,,,,,,,2021.0
Albuquerque,1991,0,0,0,0,0,0,0,0,0,0,1,3772641,0,0,0,0,0,0,3772641,0,30,,,,,,,2021.0
Albuquerque,1992,0,0,0,0,0,0,0,0,0,0,1,3564588,0,0,0,0,0,0,3564588,0,30,,,,,,,2021.0
Albuquerque,1993,0,0,0,0,0,0,0,0,0,0,1,5194667,0,0,0,0,0,0,5194667,0,30,,,,,,,2021.0
Albuquerque,1994,1,64954,0,0,0,0,0,0,0,0,1,3762109,0,0,0,0,0,0,3827063,0,30,,,,,,,2021.0
Albuquerque,1995,1,0,0,0,0,0,0,0,0,0,1,13421270,0,0,0,0,0,0,13421270,0,30,,,,,,,2021.0
Albuquerque,1996,1,0,0,0,0,0,0,0,0,0,1,4044712,0,0,0,0,0,0,4044712,0,30,,,,,,,2021.0
Albuquerque,1997,1,0,0,0,0,0,0,0,0,0,1,8295189,0,0,0,0,0,0,8295189,0,30,,,,,,,2021.0
Albuquerque,1998,1,0,0,0,0,0,0,0,0,0,1,1979901,0,0,0,0,0,0,1979901,0,30,,,,,,,2021.0
Albuquerque,1999,1,0,0,0,0,0,0,0,0,0,1,5003724,0,0,0,0,0,0,5003724,0,30,,,,,,,2021.0
Albuquerque,2000,1,0,0,0,0,0,0,0,0,0,1,5623095,0,0,0,0,0,0,5623095,0,30,,,,,,,2021.0
Albuquerque,2001,1,0,0,0,0,0,0,0,0,0,1,5932779,0,0,0,0,0,0,5932779,0,30,,,,,,,2021.0
Albuquerque,2002,1,0,0,0,0,0,0,0,1,600000,1,15362892,0,0,0,0,0,0,15962892,0,30,,,,,,,2021.0
Albuquerque,2003,1,0,0,0,0,0,0,0,1,0,1,7965300,0,0,0,0,0,0,7965300,0,30,,,,,,,2021.0
Albuquerque,2004,1,0,0,0,0,0,0,0,1,0,1,2546216,0,0,0,0,0,0,2546216,0,30,,,,,,,2021.0
Albuquerque,2005,1,0,0,0,0,0,0,0,1,0,1,5309841,0,0,0,0,0,0,5309841,0,30,,,,,,,2021.0
Albuquerque,2006,1,0,0,0,0,0,0,0,1,0,1,8969971,0,0,0,0,0,0,8969971,0,30,,,,,,,2021.0
Albuquerque,2007,1,0,0,0,0,0,0,0,1,0,1,2203409,0,0,0,0,0,0,2203409,0,30,,,,,,,2021.0
Albuquerque,2008,1,0,0,0,0,0,0,0,1,0,1,3000256,0,0,0,0,0,0,3000256,0,30,,,,,,,2021.0
Albuquerque,2009,1,0,0,0,0,0,0,0,1,0,1,17353253,0,0,0,0,0,0,17353253,0,30,,,,,,,2021.0
Albuquerque,2010,1,0,0,0,0,0,0,0,1,597220,1,7236880,0,0,0,0,0,0,7834100,0,30,,,,,,,2021.0
Albuquerque,2011,1,0,0,0,0,0,0,0,1,0,1,9128287,0,0,0,0,0,0,9128287,0,30,,,,,,,2021.0
Albuquerque,2012,1,0,0,0,0,0,0,0,1,0,1,12946023,0,0,0,0,0,0,12946023,0,30,,,,,,,2021.0
Albuquerque,2013,1,0,0,0,0,0,0,0,1,0,1,6956249,0,0,0,0,0,0,6956249,0,30,,,,,,,2021.0
Albuquerque,2014,1,299964,0,0,0,0,0,0,1,0,1,14180708,0,0,0,0,0,0,14480672,0,30,,,,,,,2021.0
Albuquerque,2015,1,0,0,0,0,0,0,0,1,0,1,15390149,0,0,0,0,0,0,15390149,0,30,,,,,,,2021.0
Albuquerque,2016,1,0,0,0,1,225000,0,0,1,0,1,3994059,0,0,0,0,0,0,4219059,0,30,,,,,,,2021.0
Albuquerque,2017,1,0,0,0,1,0,0,0,1,0,1,3856477,0,0,0,0,0,0,3856477,0,30,,,,,,,2021.0
Albuquerque,2018,1,0,0,0,1,0,0,0,1,0,1,45015010,0,0,0,0,0,0,45015010,0,30,,,,,,,2021.0
Albuquerque,2019,1,225000,0,0,1,0,0,0,1,0,1,11950239,0,2,100000,0,0,100000,12275239,1,30,,,,,,,2021.0
Albuquerque,2020,1,663276,0,0,1,0,0,0,1,0,1,21960059,0,3,150000,0,0,150000,22773335,1,30,,,,,,,2021.0
Albuquerque,2021,1,511732,0,0,1,0,0,0,1,0,1,54866692,0,1,50000,0,0,50000,55428424,1,30,,,,,,,2021.0
Albuquerque,2022,1,0,0,0,1,256000,0,0,1,0,1,22150672,0,0,0,0,0,0,22406672,1,30,,,,,,,2021.0
Alexandria,1991,0,0,0,0,0,0,0,0,0,0,1,1151221,0,0,0,0,0,0,1151221,0,31,,,,,,,
Alexandria,1992,0,0,0,0,0,0,0,0,0,0,1,512965,0,0,0,0,0,0,512965,0,31,,,,,,,
Alexandria,1993,0,0,0,0,0,0,0,0,0,0,1,70572,0,0,0,0,0,0,70572,0,31,,,,,,,
Alexandria,1994,0,0,0,0,0,0,0,0,0,0,1,2496958,0,0,0,0,0,0,2496958,0,31,,,,,,,
Alexandria,1995,0,0,0,0,0,0,0,0,0,0,1,44815,0,0,0,0,0,0,44815,0,31,,,,,,,
Alexandria,1996,0,0,0,0,0,0,0,0,0,0,1,374561,0,0,0,0,0,0,374561,0,31,,,,,,,
Alexandria,1998,0,0,0,0,0,0,0,0,0,0,1,659158,0,0,0,0,0,0,659158,0,31,,,,,,,
Alexandria,1999,0,0,0,0,0,0,0,0,0,0,1,699164,0,0,0,0,0,0,699164,0,31,,,,,,,
Alexandria,2000,0,0,0,0,0,0,0,0,0,0,1,865899,0,0,0,0,0,0,865899,0,31,,,,,,,
Alexandria,2001,0,0,0,0,0,0,0,0,0,0,1,2461842,0,0,0,0,0,0,2461842,0,31,,,,,,,
Alexandria,2002,0,0,0,0,0,0,0,0,0,0,1,325990,0,0,0,0,0,0,325990,0,31,,,,,,,
Alexandria,2003,0,0,0,0,0,0,0,0,0,0,1,974924,0,0,0,0,0,0,974924,0,31,,,,,,,
Alexandria,2004,0,0,0,0,0,0,0,0,0,0,1,573908,0,0,0,0,0,0,573908,0,31,,,,,,,
Alexandria,2005,0,0,0,0,0,0,0,0,0,0,1,988116,0,0,0,0,0,0,988116,0,31,,,,,,,
Alexandria,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,,,,,
Alexandria,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,,,,,
Alexandria,2009,0,0,0,0,0,0,0,0,0,0,1,89053,0,0,0,0,0,0,89053,0,31,,,,,,,
Alexandria,2010,0,0,0,0,0,0,0,0,0,0,1,247227,0,0,0,0,0,0,247227,0,31,,,,,,,
Alexandria,2011,0,0,0,0,0,0,0,0,0,0,1,193574,0,0,0,0,0,0,193574,0,31,,,,,,,
Alexandria,2012,0,0,0,0,0,0,0,0,0,0,1,132688,0,0,0,0,0,0,132688,0,31,,,,,,,
Alexandria,2013,0,0,0,0,0,0,0,0,0,0,1,790000,0,0,0,0,0,0,790000,0,31,,,,,,,
Alexandria,2016,0,0,0,0,0,0,0,0,0,0,1,344476,0,0,0,0,0,0,344476,0,31,,,,,,,
Alexandria,2017,0,0,0,0,0,0,0,0,0,0,1,963241,0,0,0,0,0,0,963241,0,31,,,,,,,
Alexandria,2018,0,0,0,0,0,0,0,0,0,0,1,155403,0,0,0,0,0,0,155403,0,31,,,,,,,
Alexandria,2019,1,220747,0,0,0,0,0,0,0,0,1,1167930,1,0,0,1,3498254,3498254,4886931,0,31,,,,,,,
Alexandria,2020,1,0,0,0,0,0,0,0,0,0,1,817881,0,0,0,0,0,0,817881,0,31,,,,,,,
Alexandria,2021,1,0,0,0,0,0,0,0,0,0,1,6063007,0,0,0,0,0,0,6063007,0,31,,,,,,,
Alexandria,2022,1,256000,0,0,0,0,0,0,0,0,1,555212,0,0,0,0,0,0,811212,0,31,,,,,,,
Alfred,1991,0,0,0,0,0,0,0,0,0,0,1,517000,0,0,0,0,0,0,517000,0,32,,,,,,,
Alfred,1992,0,0,0,0,0,0,0,0,0,0,1,216882,0,0,0,0,0,0,216882,0,32,,,,,,,
Alfred,1993,0,0,0,0,0,0,0,0,0,0,1,141760,0,0,0,0,0,0,141760,0,32,,,,,,,
Alfred,1994,0,0,0,0,0,0,0,0,0,0,1,102498,0,0,0,0,0,0,102498,0,32,,,,,,,
Alfred,1997,0,0,0,0,0,0,0,0,0,0,1,240752,0,0,0,0,0,0,240752,0,32,,,,,,,
Alfred,1998,0,0,0,0,0,0,0,0,0,0,1,61950,0,0,0,0,0,0,61950,0,32,,,,,,,
Alfred,1999,0,0,0,0,0,0,0,0,0,0,1,60348,0,0,0,0,0,0,60348,0,32,,,,,,,
Alfred,2000,0,0,0,0,0,0,0,0,0,0,1,299352,0,0,0,0,0,0,299352,0,32,,,,,,,
Alfred,2001,0,0,0,0,0,0,0,0,0,0,1,460607,0,0,0,0,0,0,460607,0,32,,,,,,,
Alfred,2002,0,0,0,0,0,0,0,0,0,0,1,511136,0,0,0,0,0,0,511136,0,32,,,,,,,
Alfred,2003,0,0,0,0,0,0,0,0,0,0,1,17650,0,0,0,0,0,0,17650,0,32,,,,,,,
Alfred,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,,,,,,,
